         6225866 function calls (6187628 primitive calls) in 13.866 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.202    0.202 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\pyplot.py:462(new_figure_manager)
     2344    0.020    0.000    0.202    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\patches.py:746(get_patch_transform)
      196    0.002    0.000    0.200    0.001 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:287(draw)
      554    0.007    0.000    0.186    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\text.py:915(get_window_extent)
      750    0.030    0.000    0.184    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\text.py:358(_get_layout)
5098/5088    0.014    0.000    0.175    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\cbook.py:285(process)
       36    0.000    0.000    0.166    0.005 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:1311(_get_ticklabel_bboxes)
       36    0.001    0.000    0.166    0.005 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:1315(<listcomp>)
      682    0.002    0.000    0.161    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backend_bases.py:1269(_process)
4092/2046    0.014    0.000    0.160    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\transforms.py:2368(frozen)
      104    0.000    0.000    0.158    0.002 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\axis.py:1555(_get_tick)
      434    0.008    0.000    0.155    0.000 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\text.py:734(draw)
        1    0.000    0.000    0.151    0.151 C:\Users\arthu\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\backend_bases.py:3404(new_figure_manager)
